Ticker symbol,Security,CIK,GICS Sector,Date first added
CCI,Crown Castle International Corp.,1051470,Financials,14/03/12
TRIP,TripAdvisor,1526520,Consumer Discretionary,21/12/11
BWA,BorgWarner,908255,Consumer Discretionary,19/12/11
DLTR,Dollar Tree,935703,Consumer Discretionary,19/12/11
PRGO,Perrigo,1585364,Health Care,19/12/11
GAS,AGL Resources Inc.,1004155,Utilities,13/12/11
XYL,Xylem Inc.,1524472,Industrials,01/11/11
TEL,TE Connectivity Ltd.,1385157,Information Technology,17/10/11
MOS,The Mosaic Company,1285785,Materials,26/09/11
ACN,Accenture plc,1467373,Information Technology,06/07/11
MPC,Marathon Petroleum,1510295,Energy,01/07/11
CMG,Chipotle Mexican Grill,1058090,Consumer Discretionary,28/04/11
BLK,BlackRock,1364742,Financials,04/04/11
EW,Edwards Lifesciences,1099800,Health Care,01/04/11
CVC,Cablevision Systems Corp.,1053112,Consumer Discretionary,20/12/10
FFIV,F5 Networks,1048695,Information Technology,20/12/10
NFLX,Netflix Inc.,1065280,Information Technology,20/12/10
NFX,Newfield Exploration Co,912750,Energy,20/12/10
IR,Ingersoll-Rand PLC,1466258,Industrials,17/11/10
TYC,Tyco International,833444,Industrials,27/08/10
ACE,ACE Limited,896159,Financials,15/07/10
KMX,Carmax Inc,1170010,Consumer Discretionary,28/06/10
CERN,Cerner,804753,Health Care,30/04/10
OKE,ONEOK,1039684,Energy,15/03/10
DISCA,Discovery Communications-A,1437107,Consumer Discretionary,01/03/10
BRK-B,Berkshire Hathaway,1067983,Financials,16/02/10
URBN,Urban Outfitters,912615,Consumer Discretionary,08/02/10
NRG,NRG Energy,1013871,Utilities,29/01/10
ROP,Roper Industries,882835,Industrials,23/12/09
MJN,Mead Johnson,1452575,Consumer Staples,21/12/09
ROST,Ross Stores,745732,Consumer Discretionary,21/12/09
V,Visa Inc.,1403161,Information Technology,21/12/09
PCLN,Priceline.com Inc,1075531,Consumer Discretionary,06/11/09
FSLR,First Solar Inc,1274494,Information Technology,16/10/09
FAST,Fastenal Co,815556,Industrials,15/09/09
ARG,Airgas Inc,804212,Materials,09/09/09
FMC,FMC Corporation,37785,Materials,19/08/09
RHT,Red Hat Inc.,1087423,Information Technology,27/07/09
PWR,Quanta Services Inc.,1050915,Industrials,01/07/09
WDC,Western Digital,106040,Information Technology,01/07/09
FTI,FMC Technologies Inc.,1135152,Energy,05/06/09
TWC,Time Warner Cable Inc.,1377013,Consumer Discretionary,30/03/09
ORLY,O'Reilly Automotive,898173,Consumer Discretionary,27/03/09
HRL,Hormel Foods Corp.,48465,Consumer Staples,04/03/09
VTR,Ventas Inc,740260,Financials,04/03/09
DO,Diamond Offshore Drilling,949039,Energy,26/02/09
HCN,Welltower Inc.,766704,Financials,30/01/09
IRM,Iron Mountain Incorporated,1020569,Industrials,06/01/09
FLIR,FLIR Systems,354908,Industrials,02/01/09
OI,Owens-Illinois Inc,812074,Materials,02/01/09
SCG,SCANA Corp,754737,Utilities,02/01/09
EQT,EQT Corporation,33213,Energy,19/12/08
RSG,Republic Services Inc,1060391,Industrials,05/12/08
DNB,Dun & Bradstreet,1115222,Industrials,02/12/08
SRCL,Stericycle Inc,861878,Industrials,19/11/08
WYNN,Wynn Resorts Ltd,1174922,Consumer Discretionary,14/11/08
XRAY,Dentsply International,818479,Health Care,14/11/08
PBCT,People's United Financial,1378946,Financials,13/11/08
SJM,Smucker (J.M.),91419,Consumer Staples,06/11/08
WEC,Wisconsin Energy Corporation,783325,Utilities,31/10/08
NDAQ,NASDAQ OMX Group,1120193,Financials,22/10/08
DPS,Dr Pepper Snapple Group,1418135,Consumer Staples,07/10/08
FLS,Flowserve Corporation,30625,Industrials,02/10/08
APH,Amphenol Corp A,820313,Industrials,30/09/08
PXD,Pioneer Natural Resources,1038357,Energy,24/09/08
HRS,Harris Corporation,202058,Information Technology,22/09/08
CRM,Salesforce.com,1108524,Information Technology,15/09/08
CF,CF Industries Holdings Inc,1324404,Materials,27/08/08
IVZ,Invesco Ltd.,914208,Financials,21/08/08
DVA,DaVita Inc.,927066,Health Care,31/07/08
MA,Mastercard Inc.,1141391,Information Technology,18/07/08
SNI,Scripps Networks Interactive Inc.,1430602,Consumer Discretionary,01/07/08
COG,Cabot Oil & Gas,858470,Energy,23/06/08
SWN,Southwestern Energy,7332,Energy,06/06/08
ISRG,Intuitive Surgical Inc.,1035267,Health Care,02/06/08
HCP,HCP Inc.,765880,Financials,31/03/08
PM,Philip Morris International,1413329,Consumer Staples,31/03/08
CAM,Cameron International Corp.,941548,Energy,29/01/08
TSS,Total System Services,721683,Information Technology,02/01/08
RRC,Range Resources Corp.,315852,Energy,21/12/07
GME,GameStop Corp.,1326380,Consumer Discretionary,14/12/07
AMT,American Tower Corp A,1053507,Financials,19/11/07
POM,Pepco Holdings Inc.,1135971,Utilities,09/11/07
JEC,Jacobs Engineering Group,52988,Industrials,26/10/07
EXPD,Expeditors Int'l,746515,Industrials,10/10/07
NBL,Noble Energy Inc,72207,Energy,08/10/07
EXPE,Expedia Inc.,1324424,Consumer Discretionary,02/10/07
TDC,Teradata Corp.,816761,Information Technology,01/10/07
TSO,Tesoro Petroleum Co.,50104,Energy,27/09/07
ICE,Intercontinental Exchange,1571949,Financials,26/09/07
MCHP,Microchip Technology,827054,Information Technology,07/09/07
LUK,Leucadia National Corp.,96223,Financials,27/08/07
AKAM,Akamai Technologies Inc,1086222,Information Technology,12/07/07
DFS,Discover Financial Services,1393612,Financials,02/07/07
PCP,Precision Castparts,79958,Industrials,01/06/07
AIZ,Assurant Inc,1267238,Financials,10/04/07
HST,Host Hotels & Resorts,1070750,Financials,20/03/07
VAR,Varian Medical Systems,203527,Health Care,12/02/07
RL,Polo Ralph Lauren Corp.,1037038,Consumer Discretionary,02/02/07
AVB,"AvalonBay Communities, Inc.",915912,Financials,10/01/07
AMZN,Amazon.com Inc,1018724,Consumer Discretionary,18/11/05
INTU,Intuit Inc.,896878,Information Technology,05/12/00
MU,Micron Technology,723125,Information Technology,27/09/94
CBS,CBS Corp.,813828,Consumer Discretionary,01/09/94
LUV,Southwest Airlines,92380,Industrials,01/07/94
UNH,United Health Group Inc.,731766,Health Care,01/07/94
MSFT,Microsoft Corp.,789019,Information Technology,01/06/94
KEY,KeyCorp,91576,Financials,01/03/94
UNM,Unum Group,5513,Financials,01/03/94
EMN,Eastman Chemical,915389,Materials,01/01/94
CSCO,Cisco Systems,858877,Information Technology,01/12/93
COST,Costco Co.,909832,Consumer Staples,01/10/93
IPG,Interpublic Group,51644,Consumer Discretionary,01/10/92
PX,Praxair Inc.,884905,Materials,01/07/92
AMGN,Amgen Inc,318154,Health Care,02/01/92
AEE,Ameren Corp,1002910,Utilities,19/09/91
MRO,Marathon Oil Corp.,101778,Energy,01/05/91
ADSK,Autodesk Inc,769397,Information Technology,01/12/89
STJ,St Jude Medical,203077,Health Care,30/11/89
ORCL,Oracle Corp.,1341439,Information Technology,31/08/89
NWL,Newell Rubbermaid Co.,814453,Consumer Discretionary,30/04/89
TMK,Torchmark Corp.,320335,Financials,30/04/89
ECL,Ecolab Inc.,31462,Materials,31/01/89
NKE,Nike,320187,Consumer Discretionary,30/11/88
C,Citigroup Inc.,831001,Financials,31/05/88
STI,SunTrust Banks,750556,Financials,31/05/88
PNC,PNC Financial Services,713676,Financials,30/04/88
HD,Home Depot,354950,Consumer Discretionary,31/03/88
AVY,Avery Dennison Corp,8818,Materials,31/12/87
MMC,Marsh & McLennan,62709,Financials,31/08/87
CA,"CA, Inc.",356028,Information Technology,31/07/87
SYY,Sysco Corp.,96021,Consumer Staples,31/12/86
HRB,Block H&R,12659,Financials,30/11/86
MDT,Medtronic plc,64670,Health Care,31/10/86
GPS,Gap (The),39911,Consumer Discretionary,31/08/86
JWN,Nordstrom,72333,Consumer Discretionary,31/08/86
JCI,Johnson Controls,53669,Consumer Discretionary,31/05/86
ITW,Illinois Tool Works,49826,Industrials,28/02/86
PH,Parker-Hannifin,76334,Industrials,30/11/85
DOV,Dover Corp.,29905,Industrials,31/10/85
TJX,TJX Companies Inc.,109198,Consumer Discretionary,30/09/85
CNP,CenterPoint Energy,1130310,Utilities,31/07/85
NOC,Northrop Grumman Corp.,1133421,Industrials,30/06/85
PKI,PerkinElmer,31791,Health Care,31/05/85
APD,Air Products & Chemicals Inc,2969,Materials,30/04/85
NUE,Nucor Corp.,73309,Materials,30/04/85
BLL,Ball Corp,9389,Materials,31/10/84
HAS,Hasbro Inc.,46080,Consumer Discretionary,30/09/84
LMT,Lockheed Martin Corp.,936468,Industrials,31/07/84
HES,Hess Corporation,4447,Energy,31/05/84
PHM,Pulte Homes Inc.,822416,Consumer Discretionary,30/04/84
LOW,Lowe's Cos.,60667,Consumer Discretionary,29/02/84
T,AT&T Inc,732717,Telecommunications Services,30/11/83
VZ,Verizon Communications,732712,Telecommunications Services,30/11/83
LB,L Brands Inc.,701985,Consumer Discretionary,30/09/83
CAG,ConAgra Foods Inc.,23217,Consumer Staples,31/08/83
OXY,Occidental Petroleum,797468,Energy,31/12/82
R,Ryder System,85961,Industrials,31/12/82
AAPL,Apple Inc.,320193,Information Technology,30/11/82
BF-B,Brown-Forman Corporation,14693,Consumer Staples,31/10/82
SNA,Snap-On Inc.,91440,Consumer Discretionary,30/09/82
SWK,Stanley Black & Decker,93556,Consumer Discretionary,30/09/82
WMT,Wal-Mart Stores,104169,Consumer Staples,31/08/82
MAT,Mattel Inc.,63276,Consumer Discretionary,31/03/82
ADM,Archer-Daniels-Midland Co,7084,Consumer Staples,29/07/81
GWW,Grainger (W.W.) Inc.,277135,Industrials,30/06/81
MAS,Masco Corp.,62996,Industrials,30/06/81
ADP,Automatic Data Processing,8670,Information Technology,31/03/81
FDX,FedEx Corporation,1048911,Industrials,31/12/80
PCAR,PACCAR Inc.,75362,Industrials,31/12/80
AIG,"American International Group, Inc.",5272,Financials,31/03/80
FLR,Fluor Corp.,1124198,Industrials,31/03/80
WBA,Walgreens Boots Alliance,104207,Consumer Staples,31/12/79
VFC,V.F. Corp.,103379,Consumer Discretionary,30/06/79
THC,Tenet Healthcare Corp.,70318,Health Care,31/03/79
TXT,Textron Inc.,217346,Industrials,31/12/78
INTC,Intel Corp.,50863,Information Technology,31/12/76
TGT,Target Corp.,27419,Consumer Discretionary,31/12/76
AET,Aetna Inc,1122304,Health Care,30/06/76
AXP,American Express Co,4962,Financials,30/06/76
BAC,Bank of America Corp,70858,Financials,30/06/76
CB,Chubb Corp.,20171,Financials,30/06/76
CI,CIGNA Corp.,701221,Health Care,30/06/76
DIS,The Walt Disney Company,1001039,Consumer Discretionary,30/06/76
DUK,Duke Energy,1326160,Utilities,30/06/76
LNC,Lincoln National,59558,Financials,30/06/76
NEE,NextEra Energy,753308,Utilities,30/06/76
TAP,Molson Coors Brewing Company,24545,Consumer Staples,30/06/76
WFC,Wells Fargo,72971,Financials,30/06/76
IFF,Intl Flavors & Fragrances,51253,Materials,31/03/76
TGNA,Tegna,39899,Consumer Discretionary,31/12/75
BCR,Bard (C.R.) Inc.,9892,Health Care,30/06/75
JPM,JPMorgan Chase & Co.,19617,Financials,30/06/75
WMB,Williams Cos.,107263,Energy,31/03/75
HPQ,HP Inc.,47217,Information Technology,31/12/74
GPC,Genuine Parts,40987,Consumer Discretionary,31/12/73
JNJ,Johnson & Johnson,200406,Health Care,30/06/73
BAX,Baxter International Inc.,10456,Health Care,30/09/72
BDX,Becton Dickinson,10795,Health Care,30/09/72
LLY,Lilly (Eli) & Co.,59478,Health Care,31/12/70
MCD,McDonald's Corp.,63908,Consumer Discretionary,30/06/70
NEM,Newmont Mining Corp. (Hldg. Co.),1164727,Materials,30/06/69
CLX,The Clorox Company,21076,Consumer Staples,31/03/69
GIS,General Mills,40704,Consumer Staples,31/03/69
CSX,CSX Corp.,277948,Industrials,30/09/67
CMI,Cummins Inc.,26172,Industrials,31/03/65
EMR,Emerson Electric Company,32604,Industrials,31/03/65
SLB,Schlumberger Ltd.,87347,Energy,31/03/65
SHW,Sherwin-Williams,89800,Materials,30/06/64
A,Agilent Technologies Inc,1090872,Health Care,
AA,Alcoa Inc,4281,Materials,
ABC,AmerisourceBergen Corp,1140859,Health Care,
ABT,Abbott Laboratories,1800,Health Care,
ADBE,Adobe Systems Inc,796343,Information Technology,
ADI,"Analog Devices, Inc.",6281,Information Technology,
AEP,American Electric Power,4904,Utilities,
AES,AES Corp,874761,Utilities,
AFL,AFLAC Inc,4977,Financials,
AGN,Allergan plc,884629,Health Care,
AIV,Apartment Investment & Mgmt,922864,Financials,
ALL,Allstate Corp,899051,Financials,
ALTR,Altera Corp,768251,Information Technology,
AMAT,Applied Materials Inc,6951,Information Technology,
AMP,Ameriprise Financial,820027,Financials,
AN,AutoNation Inc,350698,Consumer Discretionary,
ANTM,Anthem Inc.,1156039,Health Care,
AON,Aon plc,315293,Financials,
APA,Apache Corporation,6769,Energy,
APC,Anadarko Petroleum Corp,773910,Energy,
AZO,AutoZone Inc,866787,Consumer Discretionary,
BA,Boeing Company,12927,Industrials,
BBBY,Bed Bath & Beyond,886158,Consumer Discretionary,
BBT,BB&T Corporation,92230,Financials,
BBY,Best Buy Co. Inc.,764478,Consumer Discretionary,
BEN,Franklin Resources,38777,Financials,
BHI,Baker Hughes Inc,808362,Energy,
BIIB,BIOGEN IDEC Inc.,875045,Health Care,
BK,The Bank of New York Mellon Corp.,1390777,Financials,
BMY,Bristol-Myers Squibb,14272,Health Care,
BRCM,Broadcom Corporation,1054374,Information Technology,
BSX,Boston Scientific,885725,Health Care,
BXP,Boston Properties,1037540,Financials,
CAH,Cardinal Health Inc.,721371,Health Care,
CAT,Caterpillar Inc.,18230,Industrials,
CBG,CBRE Group,1138118,Financials,
CCE,Coca-Cola Enterprises,1491675,Consumer Staples,
CCL,Carnival Corp.,815097,Consumer Discretionary,
CELG,Celgene Corp.,816284,Health Care,
CHK,Chesapeake Energy,895126,Energy,
CHRW,C. H. Robinson Worldwide,1043277,Industrials,
CINF,Cincinnati Financial,20286,Financials,
CL,Colgate-Palmolive,21665,Consumer Staples,
CMA,Comerica Inc.,28412,Financials,
CMCSA,Comcast A Corp,1166691,Consumer Discretionary,
CME,CME Group Inc.,1156375,Financials,
CMS,CMS Energy,811156,Utilities,
CNX,CONSOL Energy Inc.,1070412,Energy,
COF,Capital One Financial,927628,Financials,
COH,Coach Inc.,1116132,Consumer Discretionary,
COL,Rockwell Collins,1137411,Industrials,
COP,ConocoPhillips,1163165,Energy,
CPB,Campbell Soup,16732,Consumer Staples,
CTAS,Cintas Corporation,723254,Industrials,
CTL,CenturyLink Inc,18926,Telecommunications Services,
CTSH,Cognizant Technology Solutions,1058290,Information Technology,
CTXS,Citrix Systems,877890,Information Technology,
CVS,CVS Caremark Corp.,64803,Consumer Staples,
CVX,Chevron Corp.,93410,Energy,
D,Dominion Resources,715957,Utilities,
DD,Du Pont (E.I.),30554,Materials,
DE,Deere & Co.,315189,Industrials,
DGX,Quest Diagnostics,1022079,Health Care,
DHI,D. R. Horton,882184,Consumer Discretionary,
DHR,Danaher Corp.,313616,Industrials,
DOW,Dow Chemical,29915,Materials,
DRI,Darden Restaurants,940944,Consumer Discretionary,
DTE,DTE Energy Co.,936340,Utilities,
DVN,Devon Energy Corp.,1090012,Energy,
EA,Electronic Arts,712515,Information Technology,
EBAY,eBay Inc.,1065088,Information Technology,
ED,Consolidated Edison,1047862,Utilities,
EFX,Equifax Inc.,33185,Financials,
EIX,Edison Int'l,827052,Utilities,
EL,Estee Lauder Cos.,1001250,Consumer Staples,
EMC,EMC Corp.,790070,Information Technology,
EOG,EOG Resources,821189,Energy,
EQR,Equity Residential,906107,Financials,
ES,Eversource Energy,72741,Utilities,
ESRX,Express Scripts,1532063,Health Care,
ETFC,E*Trade,1015780,Financials,
ETN,Eaton Corporation,1551182,Industrials,
ETR,Entergy Corp.,65984,Utilities,
EXC,Exelon Corp.,1109357,Utilities,
F,Ford Motor,37996,Consumer Discretionary,
FCX,Freeport-McMoran Cp & Gld,831259,Materials,
FE,FirstEnergy Corp,1031296,Utilities,
FIS,Fidelity National Information Services,1136893,Information Technology,
FISV,Fiserv Inc,798354,Information Technology,
FITB,Fifth Third Bancorp,35527,Financials,
FTR,Frontier Communications,20520,Telecommunications Services,
GD,General Dynamics,40533,Industrials,
GE,General Electric,40545,Industrials,
GILD,Gilead Sciences,882095,Health Care,
GLW,Corning Inc.,24741,Industrials,
GOOG,Alphabet Inc Class C,1288776,Information Technology,
GS,Goldman Sachs Group,886982,Financials,
GT,Goodyear Tire & Rubber,42582,Consumer Discretionary,
HAL,Halliburton Co.,45012,Energy,
HAR,Harman Int'l Industries,800459,Consumer Discretionary,
HBAN,Huntington Bancshares,49196,Financials,
HIG,Hartford Financial Svc.Gp.,874766,Financials,
HOG,Harley-Davidson,793952,Consumer Discretionary,
HON,Honeywell Int'l Inc.,773840,Industrials,
HOT,Starwood Hotels & Resorts,316206,Consumer Discretionary,
HP,Helmerich & Payne,46765,Energy,
HSY,The Hershey Company,47111,Consumer Staples,
HUM,Humana Inc.,49071,Health Care,
IBM,International Bus. Machines,51143,Information Technology,
IP,International Paper,51434,Materials,
JNPR,Juniper Networks,1043604,Information Technology,
K,Kellogg Co.,55067,Consumer Staples,
KIM,Kimco Realty,879101,Financials,
KLAC,KLA-Tencor Corp.,319201,Information Technology,
KMB,Kimberly-Clark,55785,Consumer Staples,
KO,The Coca Cola Company,21344,Consumer Staples,
KR,Kroger Co.,56873,Consumer Staples,
KSS,Kohl's Corp.,885639,Consumer Discretionary,
L,Loews Corp.,60086,Financials,
LEG,Leggett & Platt,58492,Industrials,
LEN,Lennar Corp.,920760,Consumer Discretionary,
LH,Laboratory Corp. of America Holding,920148,Health Care,
LLL,L-3 Communications Holdings,1056239,Industrials,
LLTC,Linear Technology Corp.,791907,Information Technology,
LM,Legg Mason,704051,Financials,
M,Macy's Inc.,794367,Consumer Discretionary,
MAR,Marriott Int'l.,1048286,Consumer Discretionary,
MCK,McKesson Corp.,927653,Health Care,
MCO,Moody's Corp,1059556,Financials,
MET,MetLife Inc.,1099219,Financials,
MHFI,McGraw Hill Financial,64040,Financials,
MKC,McCormick & Co.,63754,Consumer Staples,
MMM,3M Company,66740,Industrials,
MO,Altria Group Inc,764180,Consumer Staples,
MON,Monsanto Co.,1110783,Materials,
MRK,Merck & Co.,310158,Health Care,
MS,Morgan Stanley,895421,Financials,
MSI,Motorola Solutions Inc.,68505,Information Technology,
MTB,M&T Bank Corp.,36270,Financials,
MUR,Murphy Oil,717423,Energy,
MYL,Mylan N.V.,69499,Health Care,
NI,NiSource Inc.,1111711,Utilities,
NOV,National Oilwell Varco Inc.,1021860,Energy,
NSC,Norfolk Southern Corp.,702165,Industrials,
NTAP,NetApp,1002047,Information Technology,
NTRS,Northern Trust Corp.,73124,Financials,
NVDA,Nvidia Corporation,1045810,Information Technology,
OMC,Omnicom Group,29989,Consumer Discretionary,
PAYX,Paychex Inc.,723531,Information Technology,
PBI,Pitney-Bowes,78814,Industrials,
PCG,PG&E Corp.,1004980,Utilities,
PCL,Plum Creek Timber Co.,849213,Financials,
PDCO,Patterson Companies,891024,Health Care,
PEG,Public Serv. Enterprise Inc.,788784,Utilities,
PEP,PepsiCo Inc.,77476,Consumer Staples,
PFE,Pfizer Inc.,78003,Health Care,
PFG,Principal Financial Group,1126328,Financials,
PG,Procter & Gamble,80424,Consumer Staples,
PGR,Progressive Corp.,80661,Financials,
PLD,Prologis,1045609,Financials,
PNW,Pinnacle West Capital,764622,Utilities,
PPG,PPG Industries,79879,Materials,
PPL,PPL Corp.,922224,Utilities,
PRU,Prudential Financial,1137774,Financials,
PSA,Public Storage,1393311,Financials,
QCOM,QUALCOMM Inc.,804328,Information Technology,
RAI,Reynolds American Inc.,1275283,Consumer Staples,
RF,Regions Financial Corp.,1281761,Financials,
RHI,Robert Half International,315213,Industrials,
ROK,Rockwell Automation Inc.,1024478,Industrials,
RTN,Raytheon Co.,1047122,Industrials,
SBUX,Starbucks Corp.,829224,Consumer Discretionary,
SCHW,Charles Schwab Corporation,316709,Financials,
SE,Spectra Energy Corp.,1373835,Energy,
SEE,Sealed Air Corp.(New),1012100,Materials,
SNDK,SanDisk Corporation,1000180,Information Technology,
SO,Southern Co.,92122,Utilities,
SPG,Simon Property Group Inc,1063761,Financials,
SPLS,Staples Inc.,791519,Consumer Discretionary,
SRE,Sempra Energy,1032208,Utilities,
STT,State Street Corp.,93751,Financials,
STZ,Constellation Brands,16918,Consumer Staples,
SYK,Stryker Corp.,310764,Health Care,
SYMC,Symantec Corp.,849399,Information Technology,
TE,TECO Energy,350563,Utilities,
TIF,Tiffany & Co.,98246,Consumer Discretionary,
TMO,Thermo Fisher Scientific,97745,Health Care,
TROW,T. Rowe Price Group,1113169,Financials,
TRV,The Travelers Companies Inc.,86312,Financials,
TSN,Tyson Foods,100493,Consumer Staples,
TWX,Time Warner Inc.,1105705,Consumer Discretionary,
TXN,Texas Instruments,97476,Information Technology,
UNP,Union Pacific,100885,Industrials,
UPS,United Parcel Service,1090727,Industrials,
USB,U.S. Bancorp,36104,Financials,
UTX,United Technologies,101829,Industrials,
VIAB,Viacom Inc.,1339947,Consumer Discretionary,
VLO,Valero Energy,1035002,Energy,
VMC,Vulcan Materials,1396009,Materials,
VNO,Vornado Realty Trust,899689,Financials,
VRSN,Verisign Inc.,1014473,Information Technology,
WAT,Waters Corporation,1000697,Health Care,
WFM,Whole Foods Market,865436,Consumer Staples,
WHR,Whirlpool Corp.,106640,Consumer Discretionary,
WM,Waste Management Inc.,823768,Industrials,
WRK,Westrock Co,1159297,Materials,
WU,Western Union Co,1365135,Information Technology,
WY,Weyerhaeuser Corp.,106535,Financials,
WYN,Wyndham Worldwide,1361658,Consumer Discretionary,
XEL,Xcel Energy Inc,72903,Utilities,
XL,XL Capital,875159,Financials,
XLNX,Xilinx Inc,743988,Information Technology,
XOM,Exxon Mobil Corp.,34088,Energy,
XRX,Xerox Corp.,108772,Information Technology,
YHOO,Yahoo Inc.,1011006,Information Technology,
YUM,Yum! Brands Inc,1041061,Consumer Discretionary,
ZBH,Zimmer Biomet Holdings,1136869,Health Care,
ZION,Zions Bancorp,109380,Financials,
